,Noise,Image Number,Leaf Area,Standardized Frechet Distance,P,R,Reflected Image Number,Total Number of Pixels,Dataset
381,1mm,32,1.57,0.048666974287784055,1.0,0.7532381268681502,32,246796,No pillars
382,1mm,32,3.09,0.06637529116542043,1.0,0.4380313199105145,32,512989,No pillars
383,1mm,32,5.61,0.03645378144080263,1.0,0.38556319950713625,32,149917,No pillars
384,1mm,32,3.09,0.03076819732213282,1.0,0.6873811033608117,32,259941,Thin pillars
385,1mm,32,0.52,0.07390701068362947,1.0,0.6992840095465394,32,48531,Thin pillars
386,1mm,32,3.09,0.03213088409322966,1.0,0.6392505557319784,32,264202,Thin pillars
387,1mm,32,1.57,0.03534559209250811,1.0,0.827745180217938,32,138880,Thin pillars
388,1mm,32,0.68,0.054777060631326674,1.0,0.7040538375260375,32,64457,Thin pillars
389,1mm,32,1.57,0.044480808349766275,1.0,0.6969984202211691,27,217779,Thin pillars
390,1mm,32,3.09,0.03140505981241658,1.0,0.466637687459248,31,391175,Thin pillars
391,1mm,32,5.61,0.04683898219590922,1.0,0.4667693661971831,30,140737,Thin pillars
392,1mm,32,3.09,0.029297356044663294,1.0,0.6574005436125525,31,278981,Thin pillars
393,1mm,32,0.52,0.09236556939411224,1.0,0.8980850373255437,32,55320,Thin pillars
394,1mm,32,3.09,0.03231210762239566,1.0,0.6137977680081164,31,278781,Thin pillars
395,1mm,32,1.57,0.1114905111608405,1.0,0.4915695892090742,32,127689,Thin pillars
396,1mm,32,0.68,0.04317898109685775,1.0,0.8022361984626135,31,65857,Thin pillars
397,1mm,32,1.57,0.041084808379228246,1.0,0.7599842612630336,30,232475,Thin pillars
398,1mm,32,3.09,0.04640456438965174,0.998,0.44014285714285717,32,417800,Thin pillars
399,1mm,32,5.61,0.02668893241750913,1.0,0.5404878048780488,30,143469,Thin pillars
400,1mm,32,3.09,0.03518805693820925,1.0,0.6749539594843462,32,266602,Thin pillars
401,1mm,32,0.52,0.04205419009057607,1.0,0.8132516451100522,32,50533,Thin pillars
402,1mm,32,3.09,0.029539642059693453,1.0,0.6661032575291949,32,275915,Thin pillars
403,1mm,32,1.57,0.029928959100349952,1.0,0.8176297386823702,32,138336,Thin pillars
404,1mm,32,0.68,0.0443631509312618,1.0,0.7461305518169583,32,64676,Thin pillars
405,1mm,32,1.57,0.02927797066892019,1.0,0.7296771684169584,26,180597,Thin pillars
406,1mm,32,3.09,0.03749715192233337,0.996,0.39924591537494764,30,384563,Thin pillars
407,1mm,32,5.61,0.03554285451864179,1.0,0.35138781804163455,30,139062,Thin pillars
408,1mm,32,3.09,0.03689796563098615,1.0,0.8306299509619012,28,230724,Thick pillars
409,1mm,32,0.52,0.07524857981666988,1.0,0.7006940917555443,32,48203,Thick pillars
410,1mm,32,3.09,0.02972075687448213,1.0,0.6496577473553204,29,233985,Thick pillars
411,1mm,32,1.57,0.04480385137795559,1.0,0.8506110408765276,28,137571,Thick pillars
412,1mm,32,0.68,0.09163282048377211,1.0,0.7207314988890788,32,63833,Thick pillars
413,1mm,32,1.57,0.043461560913501444,1.0,0.7313109425785482,27,191080,Thick pillars
414,1mm,32,3.09,0.04821643114024815,1.0,0.5016134815346002,27,346264,Thick pillars
415,1mm,32,5.61,0.05363218622338888,1.0,0.351423487544484,28,138360,Thick pillars
416,1mm,32,3.09,0.04284567797442726,1.0,0.729303775545549,29,257972,Thick pillars
417,1mm,32,0.52,0.09626652281642767,1.0,0.8822381262199089,32,55320,Thick pillars
418,1mm,32,3.09,0.02729891193840831,1.0,0.6571152607855762,30,267725,Thick pillars
419,1mm,32,1.57,0.12873760514243435,0.992,0.5220559275305239,28,121718,Thick pillars
420,1mm,32,0.68,0.0539999216127451,1.0,0.8156108597285068,28,65493,Thick pillars
421,1mm,32,1.57,0.053845261360673184,1.0,0.8077264653641207,27,205950,Thick pillars
422,1mm,32,3.09,0.05385693139495737,1.0,0.5827505827505828,28,357152,Thick pillars
423,1mm,32,5.61,0.02974599631798029,0.9940119760479041,0.6099750623441397,28,141650,Thick pillars
424,1mm,32,3.09,0.025658769054235014,1.0,0.8079979492437837,28,237992,Thick pillars
425,1mm,32,0.52,0.048876332316763506,1.0,0.8568558513309894,32,50266,Thick pillars
426,1mm,32,3.09,0.026337676670057722,1.0,0.7340251228836702,30,234636,Thick pillars
427,1mm,32,1.57,0.02958772199441463,1.0,0.8451336898395722,28,136980,Thick pillars
428,1mm,32,0.68,0.07717256980792289,1.0,0.7782446311858077,32,64644,Thick pillars
429,1mm,32,1.57,0.03155505865527506,1.0,0.7622618565058776,24,155608,Thick pillars
430,1mm,32,3.09,0.05976840235920947,0.886,0.5531587057010786,27,339445,Thick pillars
431,1mm,32,5.61,0.0346498271941196,0.998003992015968,0.3879003558718861,28,137067,Thick pillars
432,3mm,128,3.09,0.039604872983618464,1.0,0.4126149802890933,128,1258044,No pillars
433,3mm,128,0.52,0.0827659342974412,1.0,0.679549114331723,128,196346,No pillars
434,3mm,128,3.09,0.03986491193372165,1.0,0.4691516709511568,128,1186515,No pillars
435,3mm,128,1.57,0.06725090035468041,1.0,0.506140350877193,128,575738,No pillars
436,3mm,128,0.68,0.0873380965251221,1.0,0.4437869822485207,128,259852,No pillars
437,3mm,128,1.57,0.06440317999909519,0.998003992015968,0.5,128,1244419,No pillars
438,3mm,128,3.09,0.06871542986171024,1.0,0.1893877551020408,128,2062216,No pillars
439,3mm,128,5.61,0.08881773260187516,1.0,0.12041425311567491,128,595015,No pillars
440,3mm,128,3.09,0.05800763469730879,1.0,0.2624938149430975,128,1296365,No pillars
441,3mm,128,0.52,0.09257982621515128,1.0,0.3350943396226415,128,220840,No pillars
442,3mm,128,3.09,0.05269304681057552,0.9900199600798403,0.1880293619424054,128,1246560,No pillars
443,3mm,128,1.57,0.13424529238821595,1.0,0.08415398388540735,128,566711,No pillars
444,3mm,128,0.68,0.0915334611070941,1.0,0.436429215509468,128,283254,No pillars
445,3mm,128,1.57,0.07059961906321728,1.0,0.4895833333333333,128,1250021,No pillars
446,3mm,128,3.09,0.06091756450175769,0.996,0.17273762094479225,128,2106988,No pillars
447,3mm,128,5.61,0.04173341367111399,1.0,0.20657276995305165,128,632262,No pillars
448,3mm,128,3.09,0.03722723225747714,1.0,0.4866339334424441,128,1246503,No pillars
