,Noise,Image Number,Leaf Area,Standardized Frechet Distance,P,R,Reflected Image Number,Total Number of Pixels,Dataset
611,3mm,32,1.57,0.07033958749300842,1.0,0.23992890995260663,32,127689,Thin pillars
612,3mm,32,0.68,0.08449202593423079,0.998003992015968,0.585956416464891,31,65857,Thin pillars
613,3mm,32,1.57,0.10345264872126433,1.0,0.317675398976212,30,232475,Thin pillars
614,3mm,32,3.09,0.05420259866959744,0.926,0.15168452103710603,32,417800,Thin pillars
615,3mm,32,5.61,0.06522614624987275,0.9880239520958084,0.15155778894472363,30,143469,Thin pillars
616,3mm,32,3.09,0.036917811316295915,1.0,0.31856030083266185,32,266602,Thin pillars
617,3mm,32,0.52,0.08452818134358046,1.0,0.5259165613147914,32,50533,Thin pillars
618,3mm,32,3.09,0.03995201509385629,1.0,0.38160535117056854,32,275915,Thin pillars
619,3mm,32,1.57,0.07096832578775412,1.0,0.39995113608600047,32,138336,Thin pillars
620,3mm,32,0.68,0.10921154586819577,1.0,0.44465379180405085,32,64676,Thin pillars
621,3mm,32,1.57,0.07718765170968127,1.0,0.2588088556283131,26,180597,Thin pillars
622,3mm,32,3.09,0.07654686304267945,0.868,0.33564356435643566,30,384563,Thin pillars
623,3mm,32,5.61,0.11950652130995754,0.7784431137724551,0.1466275659824047,30,139062,Thin pillars
624,3mm,32,3.09,0.0565636002951572,0.972,0.34095549203756637,28,230724,Thick pillars
625,3mm,32,0.52,0.1115490694491111,1.0,0.3317422434367542,32,48203,Thick pillars
626,3mm,32,3.09,0.04561692414979032,1.0,0.4685908319185059,29,233985,Thick pillars
627,3mm,32,1.57,0.04911018751018508,0.994,0.48222365869424694,28,137571,Thick pillars
628,3mm,32,0.68,0.11090087246871483,1.0,0.44269340974212035,32,63833,Thick pillars
629,3mm,32,1.57,0.05317578040337121,1.0,0.3357118586476385,27,191080,Thick pillars
630,3mm,32,3.09,0.12390240307578856,0.894,0.25660569105691056,27,346264,Thick pillars
631,3mm,32,5.61,0.14995870395444266,0.812375249500998,0.18893129770992367,28,138360,Thick pillars
632,3mm,32,3.09,0.04609179978616194,1.0,0.4144486692015209,29,257972,Thick pillars
633,3mm,32,0.52,0.13281665871015078,1.0,0.31501154734411085,32,55320,Thick pillars
634,3mm,32,3.09,0.0767246364954283,1.0,0.201909532008139,30,267725,Thick pillars
635,3mm,32,1.57,0.10066388972729433,1.0,0.13855421686746988,28,121718,Thick pillars
636,3mm,32,0.68,0.07792088752618857,1.0,0.527007299270073,28,65493,Thick pillars
637,3mm,32,1.57,0.10280419789858117,0.9940119760479041,0.3184251968503937,27,205950,Thick pillars
638,3mm,32,3.09,0.08841450939151942,0.858,0.2342857142857143,28,357152,Thick pillars
639,3mm,32,5.61,0.061266582538430384,0.9401197604790419,0.15886573283225144,28,141650,Thick pillars
640,3mm,32,3.09,0.05914249407602285,1.0,0.25,28,237992,Thick pillars
641,3mm,32,0.52,0.08144280779486393,1.0,0.2901536312849162,32,50266,Thick pillars
642,3mm,32,3.09,0.07727840629717367,1.0,0.5635808748728383,30,234636,Thick pillars
643,3mm,32,1.57,0.07366387510059937,1.0,0.4301445285615967,28,136980,Thick pillars
644,3mm,32,0.68,0.0980344363376082,1.0,0.4702945581627559,32,64644,Thick pillars
645,3mm,32,1.57,0.07988658718545993,1.0,0.29145273331319843,24,155608,Thick pillars
646,3mm,32,3.09,0.07317369662876863,0.822,0.46099290780141844,27,339445,Thick pillars
647,3mm,32,5.61,0.08666266282857378,0.6946107784431138,0.22186495176848875,28,137067,Thick pillars
